2025-12-21T09:50:02.379103+07:00,600.00 cms
2025-12-22T09:51:21.027902+07:00,550.00 cms
2025-12-23T09:32:52.384464+07:00,500.00 cms
2025-12-24T09:31:00.448742+07:00,500.00 cms
2025-12-25T09:33:14.929989+07:00,450.00 cms
2025-12-27T09:29:51.095835+07:00,350.00 cms
2025-12-28T09:57:29.676767+07:00,300.00 cms
2025-12-29T09:57:10.302524+07:00,300.00 cms
2025-12-30T09:33:40.051425+07:00,300.00 cms
2025-12-31T09:33:19.617539+07:00,250.00 cms
2026-01-01T09:58:48.500531+07:00,200.00 cms
2026-01-02T09:49:21.481290+07:00,200.00 cms
2026-01-03T09:29:03.035055+07:00,200.00 cms
2026-01-04T10:00:27.262877+07:00,200.00 cms
2026-01-05T10:02:12.196675+07:00,200.00 cms
2026-01-06T09:48:23.003078+07:00,150.00 cms
2026-01-07T09:49:00.532409+07:00,150.00 cms
2026-01-08T09:48:11.472056+07:00,150.00 cms
2026-01-09T09:49:09.559650+07:00,150.00 cms
2026-01-10T09:31:09.472931+07:00,120.00 cms
2026-01-11T09:59:45.119245+07:00,120.00 cms
2026-01-12T09:57:01.581736+07:00,150.00 cms
2026-01-13T09:34:32.852720+07:00,190.00 cms
2026-01-14T09:55:12.629441+07:00,190.00 cms
2026-01-15T09:49:08.013354+07:00,190.00 cms
2026-01-16T09:50:37.431653+07:00,230.00 cms
2026-01-17T09:29:28.291776+07:00,230.00 cms
2026-01-18T09:58:06.887931+07:00,230.00 cms
2026-01-19T09:57:27.409490+07:00,230.00 cms
2026-01-20T09:51:57.083622+07:00,280.00 cms
2026-01-21T09:50:56.183857+07:00,280.00 cms
2026-01-22T09:55:40.927359+07:00,280.00 cms
2026-01-23T09:51:03.411997+07:00,280.00 cms
2026-01-24T09:33:05.893486+07:00,250.00 cms
2026-01-25T10:03:08.492755+07:00,250.00 cms
2026-01-26T10:04:46.513443+07:00,220.00 cms
2026-01-27T09:56:47.338150+07:00,220.00 cms
2026-01-28T09:53:46.448301+07:00,250.00 cms
2026-01-30T10:16:05.890120+07:00,210.00 cms
2026-01-31T10:10:23.741780+07:00,210.00 cms
2026-02-01T10:40:58.716384+07:00,230.00 cms
2026-02-02T10:32:44.418675+07:00,230.00 cms
2026-02-03T10:26:53.241416+07:00,230.00 cms
2026-02-04T10:19:05.848036+07:00,210.00 cms
2026-02-05T10:21:23.298908+07:00,210.00 cms
2026-02-06T10:19:22.534324+07:00,210.00 cms
2026-02-07T10:13:21.981602+07:00,210.00 cms
2026-02-08T10:46:57.954213+07:00,210.00 cms
2026-02-09T10:34:52.184452+07:00,210.00 cms
2026-02-10T10:43:07.051264+07:00,210.00 cms
2026-02-11T10:39:40.414102+07:00,210.00 cms
2026-02-12T10:34:52.273024+07:00,210.00 cms
2026-02-13T10:33:46.067012+07:00,210.00 cms
2026-02-14T10:17:03.829596+07:00,210.00 cms
2026-02-15T10:34:38.121838+07:00,210.00 cms
2026-02-16T10:33:15.469150+07:00,210.00 cms
2026-02-17T10:28:00.071640+07:00,210.00 cms
2026-02-18T10:30:36.839862+07:00,210.00 cms
2026-02-19T10:29:42.168148+07:00,210.00 cms
2026-02-20T10:21:46.329366+07:00,210.00 cms
2026-02-21T10:12:05.709061+07:00,210.00 cms
